City,lat,lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
121,Martyush,56.4,61.88,43.79,78,76,17.07,RU,1600898743
122,Virden,39.5,-89.77,75.0,68,82,7.0,US,1600898743
123,Buchanan,5.88,-10.05,77.34,89,67,8.81,LR,1600898712
124,Gordeyevka,52.96,31.97,53.26,61,2,6.6,RU,1600898743
125,Tall Kayf,37.08,41.07,77.0,41,0,6.93,TR,1600898744
126,Bandarbeyla,9.49,50.81,79.18,72,57,28.36,SO,1600898744
127,Norman Wells,65.28,-126.83,55.4,50,75,8.05,CA,1600898744
128,Najrān,17.49,44.13,75.2,24,63,1.83,SA,1600898744
129,Mossamedes,-15.2,12.15,65.3,82,90,4.79,AO,1600898744
130,Ilulissat,69.22,-51.1,26.6,49,0,5.82,GL,1600898744
131,Ustka,54.58,16.86,63.61,81,82,5.99,PL,1600898745
132,Tuktoyaktuk,69.45,-133.04,39.2,86,75,12.75,CA,1600898745
133,Hobyo,5.35,48.53,76.89,85,0,22.06,SO,1600898745
134,Klaksvík,62.23,-6.59,44.6,93,95,12.75,FO,1600898745
135,Torbay,47.67,-52.73,66.99,93,75,24.16,CA,1600898724
136,Poya,-21.35,165.15,75.4,56,3,4.68,NC,1600898745
137,Faanui,-16.48,-151.75,78.87,79,3,15.88,PF,1600898582
138,Kedrovyy,56.17,91.82,37.4,100,2,5.64,RU,1600898746
139,Airai,-8.93,125.41,61.2,53,0,3.38,TL,1600898746
140,George Town,5.41,100.34,77.0,94,40,3.36,MY,1600898707
141,Kovdor,67.57,30.48,46.31,90,100,10.69,RU,1600898746
142,Ciudad Real,39.0,-4.0,69.01,67,45,1.01,ES,1600898746
143,Upernavik,72.79,-56.15,27.3,93,100,8.95,GL,1600898747
144,Tiksi,71.69,128.87,40.28,82,3,10.18,RU,1600898747
145,Poum,-20.23,164.02,73.31,70,3,13.91,NC,1600898747
146,Clyde River,70.47,-68.59,33.8,74,75,13.87,CA,1600898747
147,Hainburg,50.07,8.95,62.01,74,89,6.33,DE,1600898747
148,Cayenne,4.93,-52.33,82.4,78,100,6.93,GF,1600898748
149,Ossora,59.24,163.07,44.37,59,0,5.84,RU,1600898748
150,Karasjok,69.47,25.51,50.0,76,75,21.92,NO,1600898748
151,Nanortalik,60.14,-45.24,39.83,72,100,10.96,GL,1600898748
152,Palana,59.12,159.97,39.99,75,0,6.2,RU,1600898748
153,Yerbogachën,61.28,108.01,41.5,90,60,4.14,RU,1600898748
154,Pak Phanang,8.35,100.2,79.93,83,8,5.46,TH,1600898749
155,East London,-33.02,27.91,67.17,56,6,0.45,ZA,1600898749
156,Burlington,39.88,-74.64,80.6,36,1,11.41,US,1600898597
157,Whitianga,-36.83,175.7,62.01,89,72,3.0,NZ,1600898749
158,Vardø,70.37,31.11,48.2,76,75,11.41,NO,1600898749
159,Porciúncula,-20.96,-42.04,65.39,89,100,2.62,BR,1600898749
160,Wilmington,34.23,-77.94,75.2,44,1,8.05,US,1600898750
161,Batagay,67.63,134.63,38.35,77,74,1.83,RU,1600898750
162,Constitución,-35.33,-72.42,57.97,69,100,12.17,CL,1600898750
